Measure,Republicans_Mean,Republicans_SD,Democrats_Mean,Democrats_SD,Cohens_d,Interpretation
Affective Polarization,2.3175213675213673,0.6150812474152013,2.894521249359959,0.7758854650383488,0.824149657864391,Moderate effect
Moral Identity,2.9615384615384617,1.0804301113300945,3.369431643625192,1.018170827658756,0.3885577221491383,Small effect
Othering,2.56025641025641,0.9313202371997772,2.9571428571428573,0.9693058016782435,0.41755421398819276,Small-moderate effect
Social Aversion,1.4198966408268732,0.6056378550385054,2.316260162601626,1.06025020884871,1.0381757441694088,Large effect
Free Speech Restriction,3.26750493096647,0.8777426498520547,2.674485940790289,0.8424616805417796,0.6893300898071751,Moderate effect
